Date;Package Name;Acquisition Channel;Store Listing Visitors;Installers;Visitor-to-Installer conversion rate;Installers retained for 1 day;Installer-to-1 day retention rate;Installers retained for 7 days;Installer-to-7 days retention rate;Installers retained for 15 days;Installer-to-15 days retention rate;Installers retained for 30 days;Installer-to-30 days retention rate
17/08/2019;B4 Bank;Third-party referrers;360;52;0.144;43;0.827;36;0.692;33;0.635;29;0.558
17/08/2019;B4 Bank;Other;83;19;0.229;18;0.947;16;0.842;16;0.842;15;0.789
18/08/2019;B4 Bank;Organic;1236;312;0.252;281;0.901;272;0.872;266;0.853;257;0.824
18/08/2019;B4 Bank;Third-party referrers;279;37;0.133;30;0.811;28;0.757;27;0.730;25;0.676
18/08/2019;B4 Bank;Other;104;29;0.279;25;0.862;24;0.828;24;0.828;21;0.724
19/08/2019;B4 Bank;Organic;1216;305;0.251;269;0.882;259;0.849;251;0.823;241;0.790
19/08/2019;B4 Bank;Tracked channels (UTM);222;7;0.032;5;0.714;3;0.429;3;0.429;3;0.429
19/08/2019;B4 Bank;Third-party referrers;277;28;0.101;27;0.964;24;0.857;21;0.750;18;0.643
19/08/2019;B4 Bank;Other;55;14;0.255;12;0.857;12;0.857;12;0.857;12;0.857
20/08/2019;B4 Bank;Organic;914;158;0.173;137;0.867;133;0.842;128;0.810;122;0.772
20/08/2019;B4 Bank;Tracked channels (UTM);414;4;0.010;3;0.750;3;0.750;2;0.500;2;0.500
20/08/2019;B4 Bank;Third-party referrers;157;28;0.178;21;0.750;20;0.714;20;0.714;20;0.714
21/08/2019;B4 Bank;Organic;849;133;0.157;115;0.865;110;0.827;107;0.805;104;0.782
21/08/2019;B4 Bank;Tracked channels (UTM);399;6;0.015;4;0.667;4;0.667;3;0.500;2;0.333
21/08/2019;B4 Bank;Third-party referrers;147;24;0.163;20;0.833;20;0.833;20;0.833;18;0.750
22/08/2019;B4 Bank;Organic;1495;311;0.208;278;0.894;269;0.865;266;0.855;260;0.836
22/08/2019;B4 Bank;Tracked channels (UTM);386;15;0.039;13;0.867;12;0.800;11;0.733;11;0.733
22/08/2019;B4 Bank;Third-party referrers;313;37;0.118;32;0.865;29;0.784;28;0.757;27;0.730
22/08/2019;B4 Bank;Other;76;21;0.276;21;1.000;19;0.905;19;0.905;19;0.905
23/08/2019;B4 Bank;Organic;1548;317;0.205;279;0.880;269;0.849;260;0.820;256;0.808
23/08/2019;B4 Bank;Tracked channels (UTM);412;9;0.022;6;0.667;5;0.556;5;0.556;2;0.222
23/08/2019;B4 Bank;Third-party referrers;285;41;0.144;34;0.829;29;0.707;28;0.683;28;0.683
23/08/2019;B4 Bank;Other;51;11;0.216;11;1.000;11;1.000;11;1.000;11;1.000
24/08/2019;B4 Bank;Organic;1417;282;0.199;248;0.879;235;0.833;232;0.823;226;0.801
24/08/2019;B4 Bank;Tracked channels (UTM);348;11;0.032;10;0.909;10;0.909;9;0.818;9;0.818
24/08/2019;B4 Bank;Third-party referrers;264;38;0.144;29;0.763;27;0.711;26;0.684;24;0.632
